[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\pkg_resources\_vendor\pyparsing\results.py first seen with mtime 1658158194.1952126
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\migrations\operations\base.py first seen with mtime 1658158218.168101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\parser.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\functions\text.py first seen with mtime 1658158218.192101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\contextvars.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\contenttypes\models.py first seen with mtime 1658158216.8881028
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1658158218.2641017
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1658158216.8881028
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1658158218.1841006
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1658158218.192101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\pkg_resources\extern\__init__.py first seen with mtime 1658158194.2032132
